contestant_id,name,first_name,last_name,nick_name,hometown,photo_url
111648,Prairie Robbins,Prairie,Robbins,,"Brookville, KS",
113071,Catherine Asmussen,Catherine,Asmussen,,"Laredo, TX",
98576,Shelby Bates,Shelby,Bates,,"Loomis, CA",
99188,Lindsey Muggli,Lindsey,Muggli,,"Lane, OK",
113220,Parker Asam,Parker,Asam,,"Murrieta, CA",
109005,Amber Boyd,Amber,Boyd,,"El Nido, CA",
73896,Mendy Beardsley,Mendy,Beardsley,,"Chico, CA",
114473,Mylee Modlin,Mylee,Modlin,,"Blanchard, OK",
76590,Katrina Dugo,Katrina,Dugo,,"Oakdale, CA",
113115,Faith Poor,Faith,Poor,,"Norco, CA",
111265,Jenna Blake,Jenna,Blake,,"Clovis, CA",
111234,Cameron Steagall,Cameron,Steagall,,"Sanger, CA",
76142,Alisha Perret,Alisha,Perret,,"Merced, CA",
110262,Maggie Sinclair,Maggie,Sinclair,,"Oakdale, CA",
96810,Kara Dougherty,Kara,Dougherty,,"Parkfield, CA",
108432,Ty Hathaway,Ty,Hathaway,,"Gerber, CA",
105229,Maren Powers,Maren,Powers,,"Sebastopol, CA",
74085,Christina Porter,Christina,Porter,,"Glendora, CA",
90680,Kristie Jensen,Kristie,Jensen,,"Prather, CA",
93941,Hayle Gibson-Stillwell,Hayle,Gibson-Stillwell,,"Redcrest, CA",
88717,Julie Anderson,Julie,Anderson,,"Oakdale, CA",
114059,Emma Unruh,Emma,Unruh,,"Kingsburg, CA",
107172,Taylor Souza,Taylor,Souza,,"Clovis, CA",
110664,Kristen Spence,Kristen,Spence,,"Springville, CA",
74104,Amie Grohl,Amie,Grohl,,"Oakdale, CA",
110034,Avery Ledesma,Avery,Ledesma,,"San Luis Obispo, CA",
74407,Mary Camera,Mary,Camera,,"Winton, CA",
73517,Katy Varian,Katy,Varian,,"Parkfield, CA",
74018,Lexie Goss,Lexie,Goss,,"Redmond, OR",
109521,Adriene Steffen,Adriene,Steffen,,"San Luis Obispo, CA",
102436,Kaiden Ayres,Kaiden,Ayres,,"Woodlake, CA",
100174,Shelbie Rose,Shelbie,Rose,,"Goodwell, OK",
100682,Julie Johnson,Julie,Johnson,,"Arnett, OK",
106691,Camree Slavin,Camree,Slavin,,"Goodwell, OK",
106406,Savannah Greenfield,Savannah,Greenfield,,"Lakeview, OR",
107831,Morgan Northcutt,Morgan,Northcutt,,"Hobbs, NM",
108899,Landry Wren,Landry,Wren,,"Stephenville, TX",
108385,Kaydence Tindall,Kaydence,Tindall,,"Felda, FL",
113525,Bella Chiaro,Bella,Chiaro,,"Fort Scott, KS",
111269,Brinlee Yore,Brinlee,Yore,,"Rupert, ID",
113597,Laynee Massey,Laynee,Massey,,"Wills Point, TX",
111664,Sheridan Bubel,Sheridan,Bubel,,"Center, ND",
111597,Mallorie Fewell,Mallorie,Fewell,,"Dublin, TX",
110475,Teresa Bartling,Teresa,Bartling,,"Marietta, OK",
108303,Biven Chapman,Biven,Chapman,,"Canyon, TX",
100398,Brandi McDowell,Brandi,McDowell,,"Mooreland, OK",
100372,Christi Braudrick,Christi,Braudrick,,"Caddo, OK",
111646,Kiley Slavin,Kiley,Slavin,,"Goodwell, OK",
113660,Payton Dingman,Payton,Dingman,,"Pryor, OK",
102354,Cali Griffin,Cali,Griffin,,"Alva, OK",
104393,Tia Wallace,Tia,Wallace,,"Spencer, OK",
105330,Macy Devenport,Macy,Devenport,,"Fort Sumner, NM",
107054,Kristy Farris,Kristy,Farris,,"Sentinel, OK",
107169,Jenna Fulton,Jenna,Fulton,,"St Lawrence, SD",
99950,Peggy Garman,Peggy,Garman,,"Sundance, WY",
113074,Lucy Richards,Lucy,Richards,,"Hereford, TX",
110450,Jackie White,Jackie,White,,"Girard, KS",
109855,Samantha Kingsbury,Samantha,Kingsbury,,"Deleon, TX",
114128,Addie Denton,Addie,Denton,,"Albany, TX",
113458,Shay Clements,Shay,Clements,,"Wolfforth, TX",
113329,River Hamaker,River,Hamaker,,"Leon, IA",
107872,Taylor Raupe,Taylor,Raupe,,"Douglas, KS",
100384,Deborah Fabrizio,Deborah,Fabrizio,,"Pueblo, CO",
99949,Jordan Hollabaugh,Jordan,Hollabaugh,,"Springtown, TX",/images/2020/11/4/04_Fabrizo_Jordan_cutout.png
74942,Katie Jolly,Katie,Jolly,,"Deer Trail, CO",
73911,Shy-Anne Jarrett,Shy-Anne,Jarrett,,"Comanche, OK",
106949,Kenzie Hay,Kenzie,Hay,,"Purcell, OK",
111847,Ally Brennaman,Ally,Brennaman,,"Deerfield, KS",
96367,Delani Beatty,Delani,Beatty,,"Hawley, TX",
104303,Kendyl Rogers,Kendyl,Rogers,,"Cresent, OK",
106196,Chenoa VandeStouwe,Chenoa,VandeStouwe,,"Weatherford, OK",
103020,Alyssa Bigon,Alyssa,Bigon,,"Woodward, OK",
100109,Jenna Adams,Jenna,Adams,,"Weatherford, OK",
104240,Kamie Crouse,Kamie,Crouse,,"Cushing, OK",
101412,Jessica McMaster,Jessica,McMaster,,"Madison, KS",
102459,Shalee King,Shalee,King,,"Kaysville, UT",
109034,Brandi Buzzard,Brandi,Buzzard,,"Greeley, KS",
100371,Makayla Boisjoli,Makayla,Boisjoli,,"Calgary, AB",
104979,Kacie Wiersma,Kacie,Wiersma,,"Outlook, WA",
105945,Libby Winchell,Libby,Winchell,,"Scottsbuff, NE",
105365,Kate Thompson,Kate,Thompson,,"Alva, OK",
107834,Amanda Terrell,Amanda,Terrell,,"LaSalle, CO",
100605,Amber Coleman,Amber,Coleman,,"Ericson, NE",
101410,Bradi Good,Bradi,Good,,"Abilene, TX",
100204,Ashley Goforth,Ashley,Goforth,,"Azle, TX",
106865,Baylee Lester,Baylee,Lester,,"Garden City, KS",
104309,Morgan Kessler,Morgan,Kessler,,"Callaway, NE",
110172,Sarah Pita,Sarah,Pita,,"Middle Grove, NY",
106083,Jacelyn Frost,Jacelyn,Frost,,"Randlett, UT",
113262,Bailey Hanson,Bailey,Hanson,,"Itasca, TX",
113473,Macie-Rae Warken,Macie-Rae,Warken,,"Dublin, TX",
109029,Kashly Van Petten,Kashly,Van Petten,,"Cimarron, KS",
104970,Mataya Eklund,Mataya,Eklund,,"Durant, OK",
110660,Bella Corcoran,Bella,Corcoran,,"Weatherford, OK",
113296,Josie Burns,Josie,Burns,,"Durant, OK",
114172,Sydney Herrin,Sydney,Herrin,,"Fort Scott, KS",
110931,Carlee Potter,Carlee,Potter,,"Latham, KS",
106872,Nicole Hadley,Nicole,Hadley,,"Goodland, KS",
110417,Brooke Bruner,Brooke,Bruner,,"Parker, CO",
106202,Miranda Arndt,Miranda,Arndt,,"Fort Scott, KS",
109854,Reagan Davis,Reagan,Davis,,"Lufkin, TX",
99379,Timber Allenbrand,Timber,Allenbrand,,"Stephenville, TX",
99947,Amber Crawford,Amber,Crawford,,"Boyd, TX",
103483,Fallon Hanson,Fallon,Hanson,,"Itasca, TX",
102067,Whitlee Burgess,Whitlee,Burgess,,"Oakdale, CA",
108462,Tyree Cochrane,Tyree,Cochrane,,"San Luis Obispo, CA",
110665,Madison Deardorf,Madison,Deardorf,,"Oakdale, CA",
114020,Hailey Wilbur,Hailey,Wilbur,,"Clements, CA",
100118,Liz Hirdes,Liz,Hirdes,,"Turlock, CA",
109859,Sienna Radelfinger,Sienna,Radelfinger,,"Ferndale, CA",
108333,Sutton Mang,Sutton,Mang,,"Lompoc, CA",
108742,Beth Hitchcock,Beth,Hitchcock,,"Hollister, CA",
100074,Allie Hoskins,Allie,Hoskins,,"SanJuanBaustista, CA",
108634,Sage Pearce,Sage,Pearce,,"Santa Maria, CA",
109487,Hailey Hicks,Hailey,Hicks,,"Marysville, CA",
111555,Jillian Murray,Jillian,Murray,,"Livermore, CA",
113846,Hailey Guerini,Hailey,Guerini,,"Royal Oaks, CA",
105515,Cassidy Barnes,Cassidy,Barnes,,"Nuevo, CA",
110930,Regan Russ,Regan,Russ,,"San Luis Obispo, CA",
111159,Grace Sutton,Grace,Sutton,,"Cherry Valley, CA",
113197,Kaidyn Holland,Kaidyn,Holland,,"San Luis Obispo, CA",
104634,Kara Mathews,Kara,Mathews,,"Riverdale, CA",
113349,Cierra Farguer,Cierra,Farguer,,"Acampo, CA",
100123,Kate Branco,Kate,Branco,,"Chowchilla, CA",
111135,Carolyn Warren,Carolyn,Warren,,"Aromas, CA",
114167,Hayley Novak,Hayley,Novak,,"Temecula, CA",
98612,Kelsey Cadwell,Kelsey,Cadwell,,"Oakdale, CA",
108263,Abby Whitish,Abby,Whitish,,"Platteville, WI",
107900,Lindsey Beech,Lindsey,Beech,,"Johnson Creek, WI",
90195,Kari Diedrich,Kari,Diedrich,,"Morrison, IL",
101137,Haley Huls,Haley,Huls,,"Lennox, SD",
108302,Sandra Highland,Sandra,Highland,,"Irene, SD",
102675,Victoria Blatchford,Victoria,Blatchford,,"Brookings, SD",
113604,Cadyn Nelson,Cadyn,Nelson,,"Buffalo, MN",
108043,Nisse Flaten,Nisse,Flaten,,"Bandette, MN",
111155,Macy Fudge,Macy,Fudge,,"Skiatook, OK",
73917,Colleen Vondra,Colleen,Vondra,,"Harvard, IL",
110575,Savannah Moran,Savannah,Moran,,"Ripley, OH",
76865,Lindsay Leverington,Lindsay,Leverington,,"Jonesburg, MO",
